"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"BPCL","652.75","666.00","13.25","2.03","666.00","2,15,031","14.32","62,131.30","656.95","314.05"
"HINDALCO","513.20","519.95","6.75","1.32","519.95","43,695","2.27","74,933.43","620.50","381.00"
"M&M","1,765.05","1,788.00","22.95","1.30","1,788.00","17,689","3.16","1,58,461.88","1,784.90","1,123.40"
"COALINDIA","476.85","482.40","5.55","1.16","482.40","98,789","4.77","1,08,765.99","481.25","207.60"
"BAJAJFINSV","1,569.40","1,583.10","13.70","0.87","1,583.10","1,652","0.26","85,169.91","1,741.00","1,215.00"
"HINDUNILVR","2,350.85","2,369.95","19.10","0.81","2,369.95","3,950","0.94","2,10,443.49","2,769.65","2,346.75"
"LTIM","5,522.30","5,567.00","44.70","0.81","5,567.00","798","0.44","50,633.57","6,442.00","4,132.20"
"NTPC","339.25","341.90","2.65","0.78","341.90","1,33,356","4.56","1,61,950.32","341.05","164.20"
"BAJAJ-AUTO","8,123.05","8,185.85","62.80","0.77","8,185.85","2,016","1.65","91,716.26","8,156.85","3,625.60"
"WIPRO","518.50","522.50","4.00","0.77","522.50","18,753","0.98","73,033.69","529.00","352.00"
"INFY","1,676.35","1,689.00","12.65","0.75","1,689.00","30,158","5.09","5,99,657.42","1,733.00","1,185.30"
"HCLTECH","1,662.55","1,675.00","12.45","0.75","1,675.00","6,078","1.02","1,76,211.84","1,696.50","1,016.25"
"TITAN","3,622.05","3,648.00","25.95","0.72","3,648.00","3,108","1.13","1,51,045.85","3,886.95","2,321.00"
"JSWSTEEL","812.35","818.15","5.80","0.71","818.15","3,367","0.28","77,356.80","895.75","649.05"
"HDFCBANK","1,414.05","1,423.90","9.85","0.70","1,423.90","1,82,847","26.04","10,63,760.57","1,757.50","1,363.55"
"ONGC","277.30","275.15","1.85","0.68","275.15","1,89,068","5.20","1,07,812.36","279.85","145.50"
"ICICIBANK","1,016.65","1,023.20","6.55","0.64","1,023.20","20,456","2.09","7,15,199.61","1,059.40","810.30"
"ADANIENT","3,193.80","3,214.00","20.20","0.63","3,214.00","3,153","1.01","83,652.37","3,277.95","1,103.75"
"ULTRACEMCO","9,814.30","9,875.05","60.75","0.62","9,875.05","316","0.31","1,13,301.83","10,526.00","6,991.00"
"KOTAKBANK","1,739.25","1,749.95","10.70","0.62","1,749.95","6,035","1.06","2,56,248.21","2,064.40","1,643.50"
"ASIANPAINT","3,016.55","3,035.00","18.45","0.61","3,035.00","3,772","1.14","1,36,051.61","3,568.00","2,700.10"
"INDUSINDBK","1,476.95","1,485.95","9.00","0.61","1,485.95","652","0.10","97,914.97","1,694.50","990.20"
"TATASTEEL","141.20","142.05","0.85","0.60","142.05","71,263","1.01","1,16,254.10","147.40","101.55"
"HDFCLIFE","585.10","588.50","3.40","0.58","588.50","2,404","0.14","61,769.80","710.60","457.80"
"CIPLA","1,422.35","1,430.00","7.65","0.54","1,430.00","986","0.14","74,779.05","1,463.55","852.00"
"TATAMOTORS","920.55","925.00","4.45","0.48","925.00","37,580","3.48","1,62,138.62","950.00","400.45"
"BAJFINANCE","6,619.40","6,650.05","30.65","0.46","6,650.05","890","0.59","1,84,107.68","8,192.00","5,485.70"
"RELIANCE","2,941.20","2,952.95","11.75","0.40","2,952.95","41,096","12.14","9,96,078.35","2,969.45","2,180.00"
"TECHM","1,300.35","1,305.10","4.75","0.37","1,305.10","1,704","0.22","81,195.67","1,416.30","981.05"
"SUNPHARMA","1,509.90","1,515.00","5.10","0.34","1,515.00","722","0.11","1,62,710.90","1,555.10","922.45"
"TATACONSUM","1,131.40","1,135.00","3.60","0.32","1,135.00","1,405","0.16","71,335.98","1,190.95","686.60"
"GRASIM","2,084.80","2,091.40","6.60","0.32","2,091.40","396","0.08","76,880.48","2,199.00","1,527.05"
"DRREDDY","6,252.65","6,271.95","19.30","0.31","6,271.95","345","0.22","75,938.74","6,409.85","4,297.00"
"BHARTIARTL","1,120.70","1,124.00","3.30","0.29","1,124.00","2,241","0.25","2,84,223.32","1,200.65","735.80"
"ITC","403.90","405.00","1.10","0.27","405.00","85,437","3.46","3,58,615.45","499.70","369.65"
"HEROMOTOCO","4,816.95","4,830.00","13.05","0.27","4,830.00","1,076","0.52","62,408.07","4,949.05","2,246.00"
"MARUTI","11,090.25","11,120.00","29.75","0.27","11,120.00","543","0.60","1,46,109.01","11,133.00","8,130.00"
"TCS","4,103.20","4,113.25","10.05","0.24","4,113.25","10,980","4.52","4,15,964.29","4,184.75","3,070.25"
"SBIN","761.70","763.45","1.75","0.23","763.45","1,01,496","7.75","2,91,809.82","764.00","501.55"
"ADANIPORTS","1,267.05","1,269.80","2.75","0.22","1,269.80","3,748","0.48","92,995.71","1,291.25","533.65"
"EICHERMOT","3,916.55","3,925.05","8.50","0.22","3,925.05","525","0.21","53,542.69","4,200.00","2,836.00"
"SBILIFE","1,453.35","1,456.40","3.05","0.21","1,456.40","259","0.04","65,731.92","1,495.35","1,054.00"
"NESTLEIND","2,453.55","2,457.05","3.50","0.14","2,457.05","1,673","0.41","87,507.87","2,769.30","1,788.00"
"LT","3,300.30","3,304.95","4.65","0.14","3,304.95","2,206","0.73","3,90,586.86","3,737.90","2,082.10"
"POWERGRID","281.65","282.00","0.35","0.12","282.00","64,318","1.81","1,28,265.09","289.40","159.30"
"AXISBANK","1,072.20","1,073.00","0.80","0.07","1,073.00","24,395","2.62","2,98,426.26","1,151.85","814.30"
"BRITANNIA","4,950.55","4,954.00","3.45","0.07","4,954.00","270","0.13","58,363.59","5,386.05","4,153.00"
"APOLLOHOSP","6,627.60","6,631.05","3.45","0.05","6,631.05","664","0.44","66,730.46","6,775.00","4,168.00"
"DIVISLAB","3,708.85","3,708.70","-0.15","-0.00","3,708.70","208","0.08","47,210.93","4,074.40","2,730.00"
"UPL","487.35","484.05","-3.30","-0.68","484.05","29,415","1.42","24,561.98","780.00","452.15"
